DBA,ZIP,TYPE,CITY,YEAR_FIRST,YEAR_LAST,MONTH_FIRST,MONTH_LAST
COLORADO BEST BUDZ,81006.0,"Rec, Med",Pueblo,2015,2022,12,11
COLORADO CANNABIS ASSOCIATES,81082.0,Rec,Trinidad,2022,2022,3,3
COLORADO CANNABIS COMPANY,80204.0,Med,Denver,2015,2015,3,4
COLORADO CANNABIS CONNECTION,80127.0,"Med, Rec",Denver,2014,2022,12,12
COLORADO CANNABIS EXCHANGE,81004.0,Rec,Pueblo,2017,2022,11,11
COLORADO CARE FACILITY INC,80220.0,"Med, Rec",Denver,2014,2015,12,4
"COLORADO CARE FACILITY, INC.",80220.0,"Med, Rec",Denver,2014,2014,3,1
COLORADO CULTIVATORS ASSOCIATION,80301.0,Med,Boulder,2014,2014,4,1
COLORADO CULTIVATORS ASSOCIATION,80303.0,Rec,Boulder,2014,2015,12,8
COLORADO DREAM,80449.0,Rec,Hartsel,2014,2015,12,10
COLORADO FARMS INC,80239.0,Med,Denver,2014,2020,12,11
COLORADO GROW COMPANY,81301.0,Rec,Durango,2014,2019,12,10
COLORADO HARVEST COMPANY,80014.0,Rec,Aurora,2014,2022,12,11
COLORADO HARVEST COMPANY,80016.0,Rec,Aurora,2016,2017,12,9
COLORADO HARVEST COMPANY,80210.0,"Med, Rec",Denver,2016,2022,9,12
COLORADO HARVEST COMPANY,80223.0,"Med, Rec",Denver,2014,2022,12,12
COLORADO HARVEST MOON,80232.0,Med,Lakewood,2014,2014,8,6
COLORADO HARVEST SUPPLY,80016.0,Rec,Aurora,2014,2016,12,4
COLORADO KUSH DISPENSARY,81004.0,"Rec, Med",Pueblo,2020,2022,5,12
COLORADO WEEDERY,81526.0,Rec,Palisade,2017,2022,9,8
COLORADO WELLNESS INC,80210.0,"Med, Rec",Denver,2014,2019,12,7
"COLORADO'S KINDEST,",81132.0,Rec,Del Norte,2022,2022,11,11
COLORADOS BEST INC,80203.0,Med,Denver,2014,2014,1,1
COLORADOS KINDEST,81132.0,Rec,Del Norte,2018,2022,12,10
COMPASSIONATE CARE,81007.0,Med,Pueblo West,2014,2015,12,4
COMPASSIONATE CARE COOP,81007.0,Med,Pueblo West,2015,2018,12,9
COMPASSIONATE PAIN MANAGEMENT,80027.0,"Med, Rec",Louisville,2014,2015,12,10
COMPASSIONATE PAIN MANAGEMENT,80215.0,Med,Lakewood,2014,2015,12,11
COMPLETE RELEAF,80026.0,Rec,Lafayette,2017,2022,11,10
CONCENTRATE,80219.0,"Med, Rec",Denver,2018,2018,2,3
CONCENTRATE,80222.0,Med,Denver,2018,2018,2,3
CONSCIOUS MEDZ,80304.0,Med,Boulder,2021,2021,1,4
COOKIES BROADWAY,80210.0,"Med, Rec",Denver,2020,2022,12,12
COOKIES COMMERCE CITY,80022.0,"Med, Rec",Commerce City,2021,2022,7,12
COOKIES PUEBLO,81004.0,Rec,Pueblo,2021,2021,3,4
COOKIES PUEBLO,81005.0,Rec,Pueblo,2021,2022,5,12
COOPER MASON VENTURES 2,81611.0,"Med, Rec",Aspen,2014,2014,12,6
COOPER MASON VENTURES 3,81611.0,Med,Aspen,2014,2014,8,6
COS CONFIDENTIAL,80904.0,Med,Colorado Springs,2022,2022,11,12
CPM,80027.0,"Med, Rec",Louisville,2015,2016,12,4
CRAIG APOTHECARY,81625.0,Med,Craig,2014,2022,12,12
CRESTED BUTTE ALTERNATIVE MEDICINE,81224.0,"Med, Rec",Crested Butte,2014,2016,12,2
CRESTED BUTTE ALTERNTIVE MEDICINE,81224.0,Med,Crested Butte,2014,2014,1,1
CRESTED BUTTE WELLNESS CENTER,81224.0,"Med, Rec",Crested Butte,2014,2014,8,6
CROSS GENETICS,80210.0,Med,Denver,2014,2014,8,6
CROSS GENETICS,80216.0,"Med, Rec",Denver,2015,2022,12,12
CROSS GENETICS,80219.0,"Med, Rec",Denver,2014,2022,12,12
CROSS GENETICS,80226.0,"Med, Rec",Lakewood,2018,2022,8,2
CROSSPOINT MEDICAL CENTER,80904.0,Med,Colorado Springs,2014,2020,12,8
CURE COLORADO,80222.0,"Med, Rec",Denver,2014,2022,12,1
CURE COLORADO,81067.0,"Med, Rec",Rocky Ford,2016,2019,10,7
CURE MEDICAL PHARM INC,80204.0,Rec,Denver,2014,2016,12,2
CYS INC,80916.0,Med,Colorado Springs,2014,2017,12,1
Canna Botica,80223.0,Med,Denver,2022,2022,7,12
Canna Cabinet Inc,81004.0,"Rec, Med",Pueblo,2022,2022,10,12
Canna City,81082.0,Rec,Trinidad,2022,2022,11,11
CannaCo II,81089.0,Rec,Walsenburg,2022,2022,7,12
Cannabis Station,80202.0,Med,Denver,2022,2022,11,12
Cannabis Yummy Strains,80916.0,Med,Colorado Springs,2016,2016,10,11
Cherry Peak,80246.0,Rec,Glendale,2022,2022,8,12
Chronic Therapy,80215.0,Rec,Wheat Ridge,2022,2022,10,12
Clearance Cannabis Co.,81082.0,Rec,Trinidad,2022,2022,9,12
Colorado Cannabis Exchange,81004.0,Rec,Pueblo,2022,2022,12,12
Colorado Cannabis Exchange II,81082.0,Rec,Trinidad,2022,2022,8,12
Colorado Harvest Company,80014.0,Rec,Aurora,2022,2022,12,12
Colorado Weedery,81526.0,Rec,Palisade,2022,2022,9,12
Complete Releaf,80026.0,Rec,Lafayette,2022,2022,11,12
DABARADO,80918.0,Med,Colorado Springs,2021,2022,11,7
DABARADO,80919.0,Med,Colorado Springs,2019,2021,10,10
DABBINGTON,80705.0,Rec,Log Lane Village,2019,2022,4,12
DACONO MEDS,80514.0,Med,Dacono,2014,2014,12,6
DALWHINNIE FARMS,81611.0,Rec,Aspen,2020,2022,12,12
DAMIAN MARLEY'S STONY HILL BY TRU CANNABIS,80204.0,"Med, Rec",Denver,2017,2018,9,9
DAMIAN MARLEYS STONY HILL BY TRU CANNABIS,80204.0,Med,Denver,2018,2018,8,9
DANK,80207.0,"Med, Rec",Denver,2014,2022,12,12
DANK ,80207.0,Med,Denver,2020,2022,9,12
DANK BANK,80909.0,Med,Colorado Springs,2014,2015,12,11
DAY DREAMZ,81006.0,Med,Pueblo,2014,2015,12,11
DEEP GREEN RIVER,80223.0,Med,Denver,2014,2015,12,4
DEL MUNDO CANNABIS,80210.0,"Med, Rec",Denver,2022,2022,3,10
DELILAH,81435.0,"Med, Rec",Telluride,2014,2022,8,12
DEN REC DENVER RECREATIONAL DISPENSARY,80205.0,Rec,Denver,2019,2021,1,1
DEN REC DENVER RECREATIONAL DISPENSARY,80223.0,Rec,Denver,2019,2021,1,1
DEN-REC DENVER RECREATIONAL DISPENSARY,80205.0,Rec,Denver,2014,2021,12,11
DEN-REC DENVER RECREATIONAL DISPENSARY,80223.0,"Med, Rec",Denver,2016,2018,10,9
DEN-REC Denver Recreational Dispensary,80303.0,Rec,Boulder,2022,2022,8,12
DENCO,80211.0,Med,Denver,2014,2014,1,1
DENCO,80216.0,"Med, Rec",Denver,2014,2022,12,11
DENCO,81007.0,"Med, Rec",Pueblo West,2021,2022,1,11
"DENCO,",80216.0,"Med, Rec",Denver,2014,2014,1,1
DENREC DENVER RECREATIONAL DISPENSARY,80205.0,Rec,Denver,2017,2022,9,11
DENREC DENVER RECREATIONAL DISPENSARY,80223.0,"Med, Rec",Denver,2017,2022,9,12
DENREC DENVER RECREATIONAL DISPENSARY,80503.0,Rec,Lyons,2021,2022,1,12
DENREC Denver Recreational Dispensary,80205.0,Rec,Denver,2022,2022,12,12
DENVER CLONE STORE,80216.0,"Med, Rec",Denver,2016,2019,9,3
DENVER CLONE STORE,80219.0,"Med, Rec",Denver,2015,2020,12,7
DENVER DAM,80216.0,"Med, Rec",Denver,2014,2016,12,4
DENVER DISPENSARY,80216.0,"Med, Rec",Denver,2014,2022,12,12
"DENVER DISPENSARY,",80216.0,Med,Denver,2014,2014,3,3
DENVER KUSH CLUB,80205.0,"Med, Rec",Denver,2014,2022,12,12
DENVER MED STOP,80220.0,"Med, Rec",Denver,2014,2014,7,6
DENVER PATIENTS CENTER,80223.0,Med,Denver,2014,2014,2,1
DENVER PATIENTS GROUP,80205.0,Med,Denver,2014,2014,7,6
"DENVER PATIENTS GROUP,",80205.0,Rec,Denver,2014,2014,12,5
DENVER RELIEF,80203.0,Med,Denver,2014,2016,12,4
DIEGO PELLICER,80210.0,"Med, Rec",Denver,2019,2020,8,11
DIEGO PELLICER,80219.0,"Med, Rec",Denver,2019,2021,3,12
DINO DISPENSARY,81610.0,Rec,Dinosaur,2018,2022,8,6
DINO TREATS,81610.0,Rec,Dinosaur,2018,2021,8,6
DINOTREATS,81610.0,Rec,Dinosaur,2021,2022,7,7
DISCOUNT MEDICAL MARIJUANA,80203.0,Med,Denver,2014,2016,12,4
DISCOUNT MEDICAL MARIJUANA,80206.0,Med,Denver,2014,2016,12,4
DISCREET TREATS,80903.0,Med,Colorado Springs,2014,2014,8,6
DISCREET TREATS,80910.0,Med,Colorado Springs,2014,2016,12,4
DISCREET TREATS,80915.0,Med,Colorado Springs,2016,2016,9,8
DISCREET TREATS,80919.0,Med,Colorado Springs,2014,2016,12,4
DISCRETE GREENS,80233.0,Rec,Northglenn,2021,2022,10,9
DISCRETE GREENS,80241.0,Rec,Northglenn,2022,2022,10,11
DISPENSARY EXIT 243,80452.0,"Rec, Med",Idaho Springs,2019,2022,9,12
DJR COLORADO,80202.0,"Med, Rec",Denver,2018,2019,12,1
DO CORTEZ,81321.0,"Med, Rec",Cortez,2014,2020,11,8
DO CORTEZ ,81321.0,"Med, Rec",Cortez,2020,2022,9,12
DO CORTEZ LLP,81321.0,"Med, Rec",Cortez,2014,2018,12,3
DO CRESTED BUTTE,81224.0,Rec,Crested Butte,2018,2022,4,12
DOCS APOTHECARY,80216.0,"Med, Rec",Denver,2017,2022,11,10
DOCS APOTHECARY,80233.0,"Med, Rec",Northglenn,2015,2022,12,12
DOCTOR'S GARDEN,81623.0,Rec,Carbondale,2014,2017,4,5
DOCTOR'S ORDERS,80211.0,Rec,Denver,2021,2022,2,12
DOCTOR?S GARDEN,81623.0,"Med, Rec",Carbondale,2014,2014,4,6
DOCTOR?S ORDERS,80909.0,Med,Colorado Springs,2014,2016,12,4
DOCTORS GARDEN,81601.0,"Med, Rec",Glenwood Springs,2019,2020,4,10
DOCTORS GARDEN,81623.0,Rec,Carbondale,2017,2020,9,10
DOCTORS ORDERS,80211.0,"Med, Rec",Denver,2014,2022,12,6
DOCTORS ORDERS,80909.0,Med,Colorado Springs,2014,2022,4,12
DOCTORS ORDERS,81004.0,"Med, Rec",Pueblo,2015,2022,12,12
DOCTORS ORDERS,81007.0,Rec,Pueblo West,2015,2019,12,1
"DOCTORS ORDERS,",80211.0,Rec,Denver,2014,2014,2,1
DOOBIE SISTERS BOTANICS,81321.0,Rec,Cortez,2021,2022,3,2
DOOBIE SISTERS DISPENSARY,81321.0,Rec,Cortez,2022,2022,3,6
DOUBLE BLACK,81601.0,"Med, Rec",Glenwood Springs,2020,2022,11,10
DOUBLE BLACK,81623.0,Rec,Carbondale,2020,2022,11,12
DR RELEAF INC,80909.0,Med,Colorado Springs,2016,2022,12,10
DR RELEAF INC,80915.0,Med,Colorado Springs,2015,2022,12,7
DR. RELEAF INC,80909.0,Med,Colorado Springs,2014,2016,12,4
DRIFT,80301.0,Rec,Boulder,2016,2022,9,1
DRIFT,80303.0,Rec,Boulder,2019,2022,7,1
DURANGO HEALING CENTER,81303.0,Med,Durango,2014,2014,8,6
DURANGO ORGANIC,81303.0,Med,Durango,2018,2018,8,7
DURANGO ORGANICS,81303.0,Rec,Durango,2014,2018,12,9
DURANGO ORGANICS,81321.0,Med,Cortez,2016,2017,9,1
DURANGO ORGANICS LLP,81303.0,"Med, Rec",Durango,2014,2022,12,11
"DURANGO ORGANICS, LLP",81303.0,Rec,Durango,2017,2018,9,5
DURANGO REC ROOM,81301.0,Rec,Durango,2016,2022,12,10
DURANGO REC ROOM ,81301.0,Rec,Durango,2016,2016,8,8
DYL'S PLACE,80524.0,Med,Fort Collins,2014,2014,8,6
Del Mundo Cannabis,80210.0,Rec,Denver,2022,2022,11,12
Denver Dispensary,80216.0,Med,Denver,2014,2014,2,1
Dino Dispensary,81610.0,Rec,Dinosaur,2022,2022,7,12
DinoTreats,81610.0,Rec,Dinosaur,2022,2022,8,12
Dispensary 7884,81120.0,Rec,Antonito,2021,2022,12,12
Dispensary Exit 243,80452.0,Rec,Idaho Springs,2022,2022,11,12
Doc's Apothecary,80216.0,"Rec, Med",Denver,2022,2022,9,12
Doctors Orders,80211.0,Med,Denver,2022,2022,7,12
Doobie Sisters Dispensary,81321.0,Rec,Cortez,2022,2022,7,12
Double Black,81601.0,Rec,Glenwood Springs,2022,2022,7,12
Durango Rec Room,81301.0,Rec,Durango,2016,2016,9,4
EAGLE RIVER INVESTMENTS,80212.0,"Med, Rec",Denver,2019,2019,5,10
EAGLES NEST WELLNESS CENTER,80809.0,Med,Cascade,2014,2019,12,5
EARL?S,80461.0,Rec,Leadville,2014,2016,12,2
EARLS,80461.0,Rec,Leadville,2016,2022,9,12
EARTH GROUP COLORADO,80215.0,Med,Denver,2014,2014,12,6
EAST WEST ALTERNATIVE MEDICINE,80909.0,Med,Colorado Springs,2014,2016,12,4
EAST WEST ALTERNATIVE MEDICINE LLLP,80909.0,Med,Colorado Springs,2014,2014,8,6
ECLIPSE CANNABIS COMPANY,80304.0,Rec,Boulder,2018,2022,4,12
ECO GREEN GROW,80302.0,Rec,Boulder,2017,2017,5,5
EGOZI VENTURES,80223.0,Med,Denver,2022,2022,11,11
ELEMENT FOUR20,80219.0,Med,Denver,2014,2015,12,11
ELEMENTS,80303.0,Rec,Boulder,2015,2022,12,10
ELEVATE,80461.0,Rec,Leadville,2014,2014,4,5
ELEVATE 6010,81082.0,Rec,Trinidad,2018,2022,12,10
ELEVATED,80501.0,Rec,Longmont,2021,2022,5,12
ELEVATED RECREATION,81148.0,Rec,Romeo,2021,2022,9,11
ELEVATED STRAINS,80501.0,Rec,Longmont,2018,2021,8,4
ELEVATIONS,80920.0,Med,Colorado Springs,2015,2022,12,12
ELITE CANNABIS,80212.0,Med,Denver,2022,2022,10,12
ELITE ORGANICS,80524.0,"Med, Rec",Fort Collins,2014,2022,12,8
ELITE ORGANICS ,80524.0,Rec,Fort Collins,2020,2022,9,8
ELK MOUNTAIN TRADING POST,81630.0,Rec,De Beque,2014,2022,12,12
EMERALD CITY,81007.0,Rec,Pueblo West,2015,2016,12,2
EMERALD CITY,81082.0,Rec,Trinidad,2015,2022,3,7
EMERALD CITY WELLNESS,80904.0,Med,Colorado Springs,2014,2015,12,11
EMERALD CITY WELLNESS,80905.0,Med,Colorado Springs,2015,2022,12,12
EMERALD CITY WELLNESS,81007.0,Med,Pueblo West,2014,2015,12,8
EMERALD FIELDS,80211.0,Rec,Denver,2022,2022,7,7
EMERALD FIELDS,80246.0,Rec,Glendale,2015,2022,12,12
EMERALD FIELDS,80303.0,Rec,Boulder,2022,2022,5,7
EMERALD FIELDS,80829.0,"Rec, Med",Manitou Springs,2015,2022,12,12
EMERALD MEDICINE,80246.0,Med,Denver,2014,2014,1,6
EMERALD MEDICINE,802461315.0,Med,Glendale,2014,2014,8,5
EMJ'S,80907.0,Med,Colorado Springs,2021,2022,5,1
EMJ'S,81428.0,"Med, Rec",Paonia,2021,2022,10,11
EMJS,80907.0,Med,Colorado Springs,2020,2022,1,12
ENLIGHTENED CARE,80907.0,Med,Colorado Springs,2014,2014,4,1
ENLIGHTENED CARE PLUS,80905.0,Med,Colorado Springs,2016,2018,9,1
ENLIGHTENED CARE PLUS,80906.0,Med,Colorado Springs,2015,2016,12,4
EUFLORA,80015.0,Rec,Aurora,2014,2022,12,10
EUFLORA,80016.0,Rec,Aurora,2014,2022,12,10
EUFLORA,80023.0,Rec,Thornton,2017,2018,9,1
EUFLORA,80202.0,Rec,Denver,2014,2022,12,11
EUFLORA,80216.0,Rec,Denver,2017,2022,9,11
EUFLORA,80501.0,Rec,Longmont,2018,2022,4,11
EUFLORA,81611.0,Rec,Aspen,2020,2022,3,11
EUREKA SUPPLY CO,80427.0,Rec,Central City,2014,2015,12,10
EVER-GREENS,80452.0,"Med, Rec",Idaho Springs,2014,2014,1,1
EVERBLOOM,80033.0,"Med, Rec",Wheat Ridge,2018,2022,8,7
EVERBLOOM,80216.0,"Med, Rec",Denver,2018,2022,8,12
EVERBLOOM,81650.0,Med,Rifle,2018,2022,8,11
EVERGREEN APOTHECARY,80210.0,"Med, Rec",Denver,2014,2014,12,6
"EVERGREEN APOTHECARY,",80210.0,"Med, Rec",Denver,2014,2014,3,1
EZ NATURAL ALTERNATIVES,80909.0,Med,Colorado Springs,2014,2015,12,4
Elements,80303.0,Rec,Boulder,2022,2022,11,12
Elevate 6010,81082.0,Rec,Trinidad,2022,2022,11,12
Elite Cannabis,80223.0,Rec,Denver,2022,2022,7,12
EmJ'S,81428.0,"Med, Rec",Paonia,2022,2022,12,12
Emerald Fields,80211.0,Rec,Denver,2022,2022,8,12
Emerald Fields,80303.0,Rec,Boulder,2022,2022,8,12
Emerald Fields,80829.0,Med,Manitou Springs,2022,2022,11,12
Euflora,80015.0,Rec,Aurora,2022,2022,11,11
Euflora,80016.0,Rec,Aurora,2022,2022,11,11
Euflora,81611.0,Rec,Aspen,2018,2020,8,2
Everbloom,80033.0,"Rec, Med",Wheat Ridge,2022,2022,8,12
Everbloom,81650.0,Med,Rifle,2022,2022,12,12
FARAGOSI FARMS,81082.0,Rec,Trinidad,2015,2022,12,12
FIDDLER'S GREEN,81432.0,Med,Ridgway,2015,2015,9,9
FIDDLERS GREEN,81432.0,"Med, Rec",Ridgway,2014,2022,12,11
"FIFTY 2 EIGHTY,",81635.0,Rec,Parachute,2017,2018,9,9
FIFTY2EIGHTY,81635.0,Rec,Parachute,2017,2018,9,5
FINE TREES,80239.0,"Med, Rec",Denver,2016,2018,9,5
FIPG,81007.0,"Med, Rec",Pueblo West,2015,2021,12,5
FIRE FLOWER,81019.0,"Med, Rec",Colorado City,2022,2022,4,7
FIRE MEDS,80909.0,Med,Colorado Springs,2017,2022,9,12
FIREHOUSE ORGANICS,80204.0,Med,Denver,2014,2019,12,12
FIREHOUSE ORGANICS,80211.0,Med,Denver,2016,2017,9,1
FIREHOUSE ORGANICS,80212.0,Med,Denver,2014,2019,12,7
FIREHOUSE ORGANICS,80219.0,Med,Denver,2014,2016,12,4
FIREHOUSE ORGANICS SOUTH,80219.0,Med,Denver,2015,2016,12,1
FLAVORED ESSENTIALS,80207.0,"Med, Rec",Denver,2014,2016,12,2
FLAVORED ESSENTIALS,80216.0,Med,Denver,2015,2016,12,2
FLOWER POWER BOTANICALS,80524.0,"Med, Rec",Fort Collins,2014,2022,12,11
FLOYD'S FINE CANNABIS,80461.0,Rec,Leadville,2019,2022,5,10
FLOYDS OF LEADVILLE,80461.0,Rec,Leadville,2018,2019,8,4
FOUNTAIN ORGANICS,80910.0,Med,Colorado Springs,2018,2019,8,5
FOUNTAIN ORGANICS,80917.0,Med,Colorado Springs,2019,2022,6,12
FOURTH TURNING INVESTMENTS,80303.0,"Med, Rec",Boulder,2021,2021,3,10
FOX CANNABIS,80216.0,"Med, Rec",Denver,2016,2022,9,12
FOX STREET WELLNESS,80216.0,Rec,Denver,2014,2016,12,4
FRANK'S FARM,80910.0,Med,Colorado Springs,2015,2016,12,4
FRANKS FARM,80910.0,Med,Colorado Springs,2016,2022,9,12
FREEDOM ROAD,81082.0,"Med, Rec",Trinidad,2015,2022,12,9
FREMONT COUNTY CANNABIS,81212.0,Med,Canon City,2014,2022,12,10
FRESH BAKED,80302.0,"Med, Rec",Boulder,2014,2022,4,12
FRESH BAKED ,80302.0,Rec,Boulder,2020,2022,9,10
FRESH BAKED COMPANY,80302.0,Rec,Boulder,2015,2016,12,4
FRONT RANGE ALTERNATIVE MEDICINES,80904.0,Med,Colorado Springs,2016,2016,5,5
FRONT RANGE ALTERNATIVE MEDICINES,80918.0,Med,Colorado Springs,2014,2016,12,4
FROST EXOTIC CANNABIS,80219.0,"Med, Rec",Denver,2022,2022,1,12
FROST HARVEST,80907.0,Med,Colorado Springs,2019,2022,5,10
FROST HARVEST CO INC,80204.0,Med,Denver,2015,2016,12,4
FROST HARVEST CO INC,81133.0,Med,Fort Garland,2015,2016,12,4
FROSTED LEAF,80110.0,Med,Englewood,2014,2016,12,4
FROSTED LEAF,80204.0,"Rec, Med",Denver,2014,2021,12,6
FROSTED LEAF,80206.0,Med,Denver,2014,2015,4,4
FROSTED LEAF,80209.0,"Med, Rec",Denver,2014,2021,12,12
FROSTED LEAF,80220.0,"Med, Rec",Denver,2014,2021,12,12
FROSTED LEAF,80223.0,"Med, Rec",Denver,2014,2015,12,11
FROSTED LEAF,80239.0,"Med, Rec",Denver,2014,2018,7,5
FROSTY LEAF,81230.0,Rec,Gunnison,2015,2022,12,11
FROZEN SMOKE DISPENSARY,81230.0,Rec,Gunnison,2017,2022,9,12
FUTUREVISION LTD,80239.0,Med,Denver,2017,2017,11,11
Fire Flower,81019.0,"Rec, Med",Colorado City,2022,2022,8,12
Fire Meds,80909.0,Med,Colorado Springs,2022,2022,6,12
Floyd's Fine Cannabis,80461.0,Rec,Leadville,2022,2022,11,12
Fox Cannabis,80216.0,Med,Denver,2022,2022,11,12
Freedom Road,81082.0,Rec,Trinidad,2022,2022,10,12
Fremont County Cannabis,81212.0,Med,Canon City,2022,2022,11,12
Fresh Baked,80302.0,Rec,Boulder,2022,2022,11,12
Frost Harvest,80907.0,Med,Colorado Springs,2022,2022,11,12
Frosty Leaf,81230.0,Rec,Gunnison,2022,2022,12,12
GAIA,80220.0,Med,Denver,2014,2015,8,8
GAIA,80909.0,Med,Colorado Springs,2014,2014,8,6
GANJA GOURMET,80210.0,"Med, Rec",Denver,2014,2022,12,12
GANJA GOURMET,80216.0,Med,Denver,2014,2014,8,6
GANJA GOURMET WHOLESALE,80210.0,"Med, Rec",Denver,2015,2015,3,3
"GANJA GOURMET,",80210.0,Rec,Denver,2014,2014,2,1
"GANJA GOURMET,",80216.0,Med,Denver,2014,2014,3,1
GARDEN GREENS,81003.0,"Med, Rec",Pueblo,2015,2015,5,11
GARDEN MC,80909.0,Med,Colorado Springs,2017,2020,9,1
GARDEN MC,80910.0,Med,Colorado Springs,2015,2017,12,5
GARDEN MC,80916.0,Med,Colorado Springs,2017,2017,7,7
GARDEN OF THE BUDZ,80904.0,Med,Colorado Springs,2015,2022,12,11
GARO DEPOT,80440.0,"Med, Rec",Fairplay,2015,2017,12,5
GATSBY HOLDINGS,80487.0,Med,Steamboat Springs,2017,2017,11,11
GENERATION HEALTH,80215.0,Med,Denver,2015,2015,3,4
GENERATION HEALTH,80216.0,"Rec, Med",Denver,2014,2018,12,9
GG-MMD INC,81007.0,Med,Pueblo West,2014,2014,8,9
GLOBEVILLE MEDS,80216.0,Med,Denver,2014,2014,1,1
GM 2280,80231.0,Med,Denver,2020,2020,6,8
GM 2280 ,80231.0,Med,Denver,2020,2022,9,11
GM BRYANT,80204.0,Med,Denver,2020,2020,1,12
GM ENTERPRISE INC,80239.0,"Med, Rec",Denver,2015,2020,12,8
"GM ENTERPRISE, INC.",80239.0,Rec,Denver,2014,2017,12,1
GOLDEN ALTERNATIVE MEDICINE,80401.0,Med,Golden,2021,2022,2,11
GOLDEN LEAF,80487.0,"Med, Rec",Steamboat Springs,2014,2022,12,12
GOLDEN MEDS,80204.0,"Rec, Med",Denver,2020,2022,4,12
GOLDEN MEDS,80210.0,"Rec, Med",Denver,2020,2022,5,12
GOLDEN MEDS,80212.0,"Med, Rec",Denver,2019,2022,8,11
GOLDEN MEDS,80215.0,"Med, Rec",Lakewood,2020,2022,12,12
GOLDEN MEDS,80219.0,"Rec, Med",Denver,2020,2022,5,12
GOLDEN MEDS,80223.0,Rec,Denver,2019,2022,6,6
GOLDEN MEDS,80224.0,"Med, Rec",Denver,2020,2022,12,12
GOLDEN MEDS,80231.0,Rec,Denver,2020,2022,12,12
GOLDEN MEDS,80239.0,"Med, Rec",Denver,2020,2022,9,12
GOLDEN MEDS,80903.0,Med,Colorado Springs,2017,2022,9,12
GOLDEN MEDS ,80204.0,Rec,Denver,2020,2022,9,12
GOLDEN MEDS INC,80224.0,"Rec, Med",Denver,2015,2020,12,11
GOLDEN MEDS INC,80239.0,Med,Denver,2014,2015,12,4
GOLDEN NUGGET DISPENSARY,80427.0,"Rec, Med",Central City,2016,2022,9,5
GOLDEN SUMMIT,80916.0,Med,Colorado Springs,2016,2019,9,5
GOOD CHEMISTRY,80013.0,Rec,Aurora,2014,2022,12,8
GOOD CHEMISTRY,80203.0,"Med, Rec",Denver,2014,2022,12,12
GOOD CHEMISTRY,80210.0,"Med, Rec",Denver,2018,2022,4,12
GOOD CHEMISTRY,80211.0,"Med, Rec",Denver,2017,2022,11,12
GOOD CHEMISTRY ,80210.0,Med,Denver,2020,2022,9,8
GOOD EARTH MEDS,81147.0,"Med, Rec",Pagosa Springs,2014,2021,12,1
GOOD MEDS,80110.0,Med,Englewood,2014,2022,12,12
GOOD MEDS,80215.0,Med,Lakewood,2015,2022,12,12
GOOD MEDS LAKEWOOD,80215.0,Med,Lakewood,2014,2015,12,8
GOOD VIBES ROCKY MOUNTAIN DISPENSARY,81625.0,Rec,Craig,2021,2022,2,12
GOOD WEED,80903.0,Med,Colorado Springs,2016,2022,12,6
GOODFLOWER,81623.0,Rec,Carbondale,2022,2022,4,12
GOODPEOPLE,81621.0,"Med, Rec",Basalt,2019,2022,1,11
GOODPEOPLE ,81621.0,Med,Basalt,2020,2022,9,12
GRAD LIFE SOLUTIONS,80447.0,Rec,Grand Lake,2015,2015,8,8
GRAND LIFE SOLUTIONS,80446.0,Rec,Granby,2014,2015,12,4
GRAND LIFE SOLUTIONS,80447.0,Rec,Grand Lake,2015,2016,12,4
GRANNYS HIGH ALTITUDE SPROUT HOUSE,80827.0,Rec,Lake George,2014,2014,12,11
GRANT PHARMS MMC,80906.0,Med,Colorado Springs,2020,2022,1,12
GRANT PHARMS MMC,80909.0,Med,Colorado Springs,2016,2022,9,12
GREE TREE MEDICINALS,80513.0,Rec,Berthoud,2018,2019,12,8
GREEN AND HEALTHY WELLNESS,80904.0,Med,Colorado Springs,2014,2015,12,11
GREEN AND HEALTHY WELLNESS,80905.0,Med,Colorado Springs,2016,2019,9,4
GREEN APEX,81076.0,Rec,Sugar City,2021,2022,6,6
GREEN CROSS CAREGIVERS,80231.0,"Med, Rec",Denver,2014,2022,12,4
GREEN CROSS CLINIC,80221.0,Med,Denver,2014,2014,12,6
GREEN CROSS OF CHERRY CREEK,80224.0,"Med, Rec",Denver,2014,2022,12,12
GREEN CROSS OF LONGMONT,80501.0,Rec,Longmont,2018,2019,4,2
GREEN CROSS RIFLE,81650.0,"Med, Rec",Rifle,2014,2022,12,12
GREEN CROSS SILT,81652.0,Rec,Silt,2014,2022,12,10
GREEN DOOR WELLNESS CENTER,80204.0,Med,Denver,2014,2014,4,1
GREEN DOOR WELLNESS CENTER#12,80223.0,Med,Denver,2014,2014,3,1
GREEN DOOR WELLNESS CENTERS#3,80221.0,Med,Denver,2014,2014,3,1
GREEN DRAGN COLORADO,81435.0,Rec,Telluride,2017,2017,5,5
GREEN DRAGON,80011.0,Rec,Aurora,2020,2022,12,9
GREEN DRAGON,80015.0,Rec,Aurora,2020,2022,12,12
GREEN DRAGON,80206.0,"Rec, Med",Denver,2021,2022,4,12
GREEN DRAGON,80212.0,Rec,Mountain View,2021,2022,4,12
GREEN DRAGON,80214.0,Rec,Edgewater,2021,2022,4,12
GREEN DRAGON,80220.0,Rec,Denver,2021,2022,4,12
GREEN DRAGON,80223.0,Rec,Denver,2021,2022,4,12
GREEN DRAGON,80301.0,Rec,Boulder,2021,2022,4,12
